epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.31,2.24526,3.71279,1.36031,0.00493,0.56,0.06777,0.0254,2.16185,3.64609,1.24399,0.000656566,0.000656566,0.000656566
2,2273.84,2.17846,2.41248,1.35763,0.59052,0.39049,0.39065,0.13093,2.37868,2.25313,1.38247,0.00119223,0.00119223,0.00119223
3,3384.58,2.17796,1.83172,1.34938,0.64515,0.59077,0.55196,0.18337,2.12164,1.53221,1.25721,0.0015959,0.0015959,0.0015959
4,4520.46,2.13448,1.51669,1.33004,0.66184,0.6,0.57867,0.19525,2.10078,1.48015,1.22386,0.001406,0.001406,0.001406
5,5633.1,2.10676,1.32391,1.34044,0.72417,0.61394,0.57807,0.21652,2.06718,1.27434,1.22978,0.001208,0.001208,0.001208
6,6770.12,2.0551,1.23852,1.30927,0.74305,0.59692,0.63551,0.25125,1.98843,1.08978,1.1972,0.00101,0.00101,0.00101
7,7957.63,2.05481,1.16654,1.29861,0.74847,0.61344,0.65636,0.26953,1.96141,1.06662,1.18409,0.000812,0.000812,0.000812
8,9046.51,1.99517,1.11027,1.276,0.73073,0.63692,0.66654,0.27295,1.96699,1.06181,1.17399,0.000614,0.000614,0.000614
9,10189.3,1.97896,1.07376,1.2577,0.726,0.62769,0.63543,0.2539,1.99816,1.04699,1.18862,0.000416,0.000416,0.000416
10,11285.4,1.93831,1.02058,1.23927,0.76687,0.66462,0.6744,0.26776,2.00842,0.99723,1.18088,0.000218,0.000218,0.000218
